ratio product,selection probability
1.0,0.0997
1.0,0.1018
1.0,0.104
1.0,0.1029
1.0,0.093
1.0,0.1024
1.0,0.1003
1.0,0.0947
1.0,0.0994
1.0,0.1018
1.0,0.097
1.0,0.0996
1.0,0.097
1.0,0.0982
1.0,0.1063
1.0,0.1014
1.0,0.1022
1.0,0.0986
1.0,0.0961
1.0,0.1036
